Date,USA_GDPP,CHN_GDPP,JPN_GDPP,DEU_GDPP,IND_GDPP,GBR_GDPP,BRA_GDPP,RUS_GDPP,ZAF_GDPP,KOR_GDPP,BGD_GDPP,SGP_GDPP,HKG_GDPP,IDN_GDPP,VNM_GDPP
1971-12-31,5609.38259952519,118.84249157909,2321.39092521418,3203.82884836051,120.680595539912,2649.80151387223,500.001988983361,nan,1020.43983590718,301.178736655376,124.533963099152,1071.41154035538,1106.46971695915,78.5428393869752,nan
1972-12-31,6094.01798986165,132.097410431007,3031.43860570759,3823.94032602696,125.270705961882,3030.43251411977,583.492034946156,nan,1038.39407468283,324.192811178745,87.773765191476,1264.37510720987,1384.7342645141,90.1147549138956,nan
1973-12-31,6726.35895596695,157.339888078555,4061.0133895326,5065.24523302283,146.568492582405,3426.27622050378,814.731780553415,nan,1369.16160033933,406.897093528455,109.691726756912,1685.45979632163,1893.18124189464,129.886231088685,nan
1974-12-31,7225.69135952566,160.402546852304,4448.31965623627,5659.73787773336,166.699661755332,3665.8627976419,1044.76980947499,nan,1656.2890557998,563.352475775669,164.986393602814,2341.70551423633,2144.61495884823,200.710984454591,nan
1975-12-31,7801.45666356443,178.621249282085,4775.89953559305,6259.20744498342,161.086694022079,4299.74561799284,1200.55823714607,nan,1670.11816898954,617.456061933567,249.804254016022,2489.91157517591,2252.12694057369,231.060120618497,nan
1976-12-31,8592.25353727612,165.680987722637,5310.43140904992,6659.16546576017,164.119999587322,4138.16778761535,1389.74952306555,nan,1558.99824733487,834.134207951691,126.693044204437,2758.94038028476,2850.0146101832,275.713167824796,nan
1977-12-31,9452.57651914511,185.728620718294,6472.7877874079,7711.10232025365,189.585568552477,4681.43993173038,1562.29143045708,nan,1671.46618837272,1055.8800411599,117.887771379224,2846.33598832854,3429.42027607254,330.670214101079,nan
1978-12-31,10564.9482220275,156.655616850835,9012.13603523182,9516.78283228907,209.389063573463,5976.93816899991,1732.50012204556,nan,1851.75191300848,1405.82237444554,158.324255152285,3193.90565722355,3923.9713784987,362.483779779007,nan
1979-12-31,11674.1818666548,184.285853059043,9301.14831026293,11322.3543443813,227.958179873426,7804.76208051155,1869.7133759549,nan,2201.51922339868,1783.62231287847,181.130706703135,3900.53355310873,4569.4838495588,353.424175826329,nan
1980-12-31,12574.7915062163,195.149479992051,9668.74626395709,12182.7800196802,271.080945953678,10032.062080015,1958.57159232662,nan,3028.97447561832,1715.42239973641,206.075714312155,4928.13911785754,5700.43210891578,486.620172021155,nan
1981-12-31,13976.10539252,197.425510967822,10583.1278908402,10246.4767623188,274.964330768528,9599.30622221965,2079.70908377484,nan,3049.71474333882,1883.45598002963,224.241392391192,5596.58597723068,5991.28488804536,560.830336032961,nan
1982-12-31,14433.787727053,203.722788366928,9779.97490636267,9950.05926025365,278.65038258267,9146.07735701852,2137.6250359394,nan,2717.16388710425,1992.51677784629,199.595944646851,6077.63424070932,6133.7668997328,577.745632722784,nan
1983-12-31,15543.8937174925,225.86534696156,10652.0147161768,9900.48559233526,295.999773299382,8691.51881306514,1461.25582714178,nan,2938.48980239675,2198.93929063878,184.70677287459,6633.23667366491,5595.26055343754,507.682945653414,nan
1984-12-31,17121.2254849995,251.192686463827,11207.4523524293,9347.29068412377,281.049867840717,8179.19444064991,1419.73154606978,nan,2504.07736790289,2413.27650109593,193.435020976238,7228.31758410647,6208.22615937199,519.774063103241,nan
1985-12-31,18236.8277265009,295.007445815897,11809.4603450715,9464.11694710857,300.928258576378,8652.21654247593,1556.1297180511,nan,1839.4841908184,2482.39995573606,222.22018039634,7001.7667477117,6542.97352840976,511.400883618027,238.647805313403
1986-12-31,19071.2271949295,282.445603096707,17451.8349394142,13511.1520027486,314.897116402542,10611.112210096,1854.03775211919,nan,2027.4662038189,2834.89033966815,212.14899385306,6799.93036332671,7434.99925513073,469.834241253429,436.419296772225
1987-12-31,20038.9410992658,252.256760114454,21141.7183951789,16738.6132825523,344.941028293075,13118.586534629,2006.00226235757,nan,2586.27423314228,3554.60600894471,231.499584520483,7539.02930212443,9071.39076473445,437.60655039936,595.247488701606
1988-12-31,21417.0119305191,284.023573149686,25499.8811728107,17996.9783507619,358.484539641693,15987.1680775688,2140.65027561164,3778.01977539063,2702.05504774508,4748.64064406123,247.901465967332,8914.44122574729,10609.7456394545,476.662483405818,404.559305078888
1989-12-31,22857.1544330056,311.429461227032,25265.9487590208,17829.4609524705,349.915155021864,16239.2821960944,2818.99277980122,3429.64990234375,2726.70980679488,5817.06556721983,263.005720827547,10394.5389962406,12097.7487914553,524.143027322576,98.1070172159577
1990-12-31,23888.6000088133,318.50335359039,25801.3950393094,22385.6778250275,371.085936203765,19095.4669984608,2581.14187449078,3494.06323242188,3093.48920352334,6609.99728316175,283.053737055234,11861.7561591366,13485.6314525052,578.420121135382,98.7983370311401
1991-12-31,24342.2589048189,334.130288119078,29428.4289039469,23443.3350818536,305.574055928592,19900.7266505069,2257.6092968885,3490.45239257813,3243.23616023953,7636.9480638849,272.064948495878,14502.3799938606,15465.9245305858,624.387495384411,143.715270231936
1992-12-31,25418.9907763319,367.822651903542,31992.7902119161,26559.8543879632,319.182472626315,20487.1707852878,2127.31642731638,3098.802734375,3462.39400202835,8126.66206183629,273.465072520272,16136.2405377661,17976.4688629053,673.67103954742,144.549392371677
1993-12-31,26387.2937338171,378.939353053314,36345.2441262708,25616.6508772405,302.884806246174,18389.0195675099,2348.88247685352,2930.67016601563,3399.64009566241,8884.91946408987,280.757274450366,18290.130113185,20395.5621886121,817.395116417856,189.418573584332
